ENO,DEPOSIT_NAME,SYNONYMS,STATE,LONG_GDA94,LAT_GDA94,OPERATING_STATUS,COMMODITY_PRIMARY,COMMODITY_SECONDARY,COMMODITY_NAMES,COMPANIES,GEOLOGIC_AGE,DEPOSIT_MODEL_ENVIRONMENT,DEPOSIT_MODEL_GROUP,DEPOSIT_MODEL_TYPE,PROVINCES,IGNEOUS,METALLOGENIC,SEDIMENTARY,TECTONIC
333934,Emily Ann,,WA,120.4823,-32.1997,historic mine,"Ni, Co",,"Nickel, Cobalt","LionOre Australia (Nickel) Ltd, Poseidon Nickel Limited",Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Maggie Hays Nickel Metallogenic Province, Southern Cross Domain (Youanmi Terrane)",,Maggie Hays Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333935,M1,South Murchison,WA,116.937,-28.8276,historic mine,"Au, Ag",,"Gold, Silver","Minjar Gold Pty Ltd, Warriedar Resources",,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
333940,Peyes Farm Dam (Jacques - Peyes),Binduli North Project,WA,121.3858,-30.6971,mineral deposit,Au,,Gold,Horizon Minerals Ltd.,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333942,Windermere,,QLD,145.3128,-17.5644,historic mine,Sn,Fe,"Tin, (Iron)",Consolidated Tin Mines,,Magmatic hydrothermal,Skarn,Skarn tin ± copper ± Mo,"Mossman Orogen, Hodgkinson Province",,,,"Hodgkinson Province,Mossman Orogen,Tasman Element"
333947,Farleys Deposit,Fosterville Project,VIC,144.5113,-36.673,historic mine,Au,,Gold,"Newmarket Gold Inc, AuRico Gold Corporporation, Crocodile Gold Corporation",,,,,Lachlan Orogen,,,,"Bendigo Zone,Lachlan Orogen,Tasman Element"
333948,Ben Hur Panel 3,Binduli Project,WA,121.4138,-30.8593,historic mine,Au,,Gold,Norton Gold Fields Limited,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,Roe Paleovalley,"West Australian Element,Yilgarn Craton"
333950,Ivanhoe North,Ivanhoe No2,NSW,150.01,-33.3569,historic mine,Cbl,,Coal - black,"Banpu Public Company Limited, Centennial Coal Co Ltd",,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
333951,Howley Ridge,Burnside Project,NT,131.3209,-13.4659,mineral deposit,Au,,Gold,Crocodile Gold Corporation,Paleoproterozoic,,,,Pine Creek Orogen,,,,"North Australian Element,Pine Creek Orogen"
333953,Lake Lindsay,Girrah,QLD,148.7596,-23.044,mineral deposit,Cbl,,Coal - black,Anglo Coal Australia Pty Ltd,,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
333954,South Emu Feather,Gidgee Project,WA,119.4177,-27.2506,historic mine,Au,,Gold,Panoramic Resources Limited,Archean,,,,Yilgarn Craton,,,Raeside Paleovalley,"West Australian Element,Yilgarn Craton"
333961,Collingwood (Coal Project),,QLD,150.0181,-25.9853,mineral deposit,Cbl,,Coal - black,"New Hope Coal, MITSUI & CO. (AUSTRALIA) LTD.",Mesozoic,,,,Surat Basin,,,"Bowen Basin,Surat Basin","Connors-Auburn Province,New England Orogen,Tasman Element"
333962,Yarlarweelor,Grosvenor Gold Project,WA,118.3604,-25.3437,historic mine,Au,,Gold,"Westgold Resources Limited, Resource and Investment NL",Proterozoic,,,,Yilgarn Craton,Warakurna Large Igneous Province,,Bryah Basin,"West Australian Element,Yilgarn Craton"
333963,The Mount,Mount Project,WA,121.5698,-31.5287,historic mine,Au,,Gold,Lukah Mining Pty Ltd,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333964,Western Queen,Western Queen Project,WA,117.1261,-27.5321,mineral deposit,Au,,Gold,Rumble Resources Ltd,Archean,,,,"Yilgarn Craton, Murchison Province",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
333966,Mountain of Light,Leigh Creek,SA,138.4513,-30.5789,care and maintenance,Cu,,Copper,Strategic Minerals Plc,Proterozoic,Magmatic hydrothermal,Replacement,,Delamerian Orogen,,,,"Delamerian Orogen,South Australian Element"
333967,Lady Harriet,,WA,121.0316,-29.7251,historic mine,Au,,Gold,Brightstar Resources Ltd,,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333968,Shearers,Nullagine Gold Project,WA,120.2106,-21.9164,historic mine,Au,,Gold,Millennium Minerals Limited,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Pilbara Craton,Warakurna Large Igneous Province,,,"Pilbara Craton,West Australian Element"
333969,Admiral Bay,,WA,122.2636,-19.1904,mineral deposit,"Zn, Pb","Ag, Ba","Zinc, (Silver, Lead, Barium)",Kagara Limited,,Basin hydrothermal,Mississippi Valley-type (MVT),MVT zinc-lead,"Canning Basin, Broome Platform",Kalkarindji Igneous Province,,Canning Basin,Central Australian Element
333970,Comet Vale,"Gladstone, Sand Queen",WA,121.131,-29.9549,operating mine,Au,,Gold,Labyrinth Resources Ltd,Archean,,,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Norseman-Wiluna Belt",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333972,Goulds Dam,"Armchair, Armchair-Streitberg, Billeroo West, Streitberg",SA,139.95,-31.467,mineral deposit,U,U3O8,"Uranium, (Uranium oxide)",Uranium One Incorporated,Cenozoic,Infiltrational,Uranium,Sandstone uranium,"Lake Eyre Basin, Callabonna Sub-basin",,,"Arrowie Basin,Billeroo Paleovalley,Lake Eyre Basin","Curnamona Province,South Australian Element"
333975,Western Ridge,,WA,119.583,-23.3984,mineral deposit,FeOre,Fe,"Iron ore, (Iron)",BHP Group Limited,Archean,,,,Hamersley Basin,Warakurna Large Igneous Province,,"Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
333982,Mungana,Chillagoe,QLD,144.3825,-17.0991,mineral deposit,"Zn, Cu, Au, Pb, Sb","Ag, Cd","Zinc, Copper, (Silver, Gold, Lead, Antimony, Cadmium)",Tartana Minerals,,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,Hodgkinson Province,,,,"Hodgkinson Province,Mossman Orogen,Tasman Element"
333983,Waterloo,Ravenswood Consolidated,QLD,146.112,-20.3798,mineral deposit,"Zn, Cu, Pb","Au, Ag","Zinc, Copper, (Gold, Lead, Silver)",Sunshine Metals Ltd,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Charters Towers Province, Lolworth-Ravenswood Block, Thalanga Base Metal Metallogenic Province, Seventy Mile Range Subprovince",,,,"Charters Towers Province,Tasman Element,Thomson Orogen"
333986,The Peak,"Cobar, Peak, Peak Mine, Peak Mines Project",NSW,145.8778,-31.5653,operating mine,"Cu, Au",,"Copper, Gold","Goldcorp, Rio Tinto Limited",,Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,"Lachlan Orogen, Lachlan Orogen, Cobar Basin",,,Cobar Basin,"Central NSW - Omeo Province,Lachlan Orogen,Tasman Element"
333988,Mulline,Mulline Project,WA,120.5206,-29.7839,historic mine,Au,,Gold,Swan Gold Mining Limited,Archean,,,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province, Southern Cross Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333989,Burton,"Burton Downs, Kerlong, Plumtree",QLD,148.1726,-21.5886,operating mine,Cbl,,Coal - black,"Bowen Coking Coal Ltd, Lenton Joint Venture",,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
333991,Saraji,,QLD,148.2911,-22.3694,operating mine,Cbl,,Coal - black,"BHP Group Limited, Mitsubishi Corporation, Mitsubishi Corp",,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
333994,Jubilee,Jubilee North,QLD,140.0072,-20.7946,historic mine,"Au, Cu",,"Gold, Copper",Hammer Metals Ltd,Proterozoic,,,,"Mount Isa Orogen, Mary Kathleen Zone",,,,"Mary Kathleen Domain,Mount Isa Orogen,North Australian Element"
333998,Matilda Mine,Matilda Gold Project,WA,120.2149,-26.7575,operating mine,Au,,Gold,Blackham Resources Limited,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Kalgoorlie Terrane, Norseman-Wiluna Belt",,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333999,Kalman,Mount Isa,QLD,139.967,-21.0459,mineral deposit,"Mo, Cu, Au","Ag, Re","Molybdenum, Copper, Gold, (Silver, Rhenium)",Hammer Metals Ltd,Proterozoic,Regional metasomatic,Alkali-calcic,Low Iron alkali-calcic,"Mount Isa Orogen, Kalkadoon-Leichhardt Domain, Mary Kathleen Zone",,,,"Mitakoodi Domain,Mount Isa Orogen,North Australian Element"
334000,Greenmount,"McCabe, White Range",QLD,140.5309,-21.024,mineral deposit,"Cu, Co, Au, Brt","Ag, As","Copper, Cobalt, Gold, (Silver, Barite, Arsenic)",Fetch Metals,Proterozoic,Regional metasomatic,IOCG,,"Mount Isa Orogen, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",,,,"Marimo-Staveley Domain,Mount Isa Orogen,North Australian Element"
334001,Maud Creek,"Gold Creek, Maud Creek Project",NT,132.454,-14.4431,historic mine,Au,,Gold,"Newmarket Gold Inc, PNX Metals Limited, Crocodile Gold Corporation",Proterozoic,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Pine Creek Orogen,Kalkarindji Igneous Province,,,"North Australian Element,Pine Creek Orogen"
334002,King Vol,"Auctus Chillagoe, Walsh River",QLD,144.2496,-16.9363,care and maintenance,"Zn, Cu, Pb, As, Cd","Ag, Fe","Zinc, Copper, (Silver, Lead, Arsenic, Cadmium, Iron)",Aurora Metals Ltd,Paleozoic,Magmatic hydrothermal,Skarn,Skarn zinc-lead-silver,Hodgkinson Province,,,,"Hodgkinson Province,Mossman Orogen,Tasman Element"
334005,Ravensworth UG,"Nardell Colliery, Newpac Colliery",NSW,151.0375,-32.4366,care and maintenance,Cbl,,Coal - black,"POSCO, Marubeni Corporation, Glencore Plc",,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
334006,Rix's Creek,,NSW,151.13,-32.5269,operating mine,Cbl,,Coal - black,Bloomfield Group,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
334007,Bald Hill,,WA,122.1811,-31.5133,closed,"Ta2O5, Li2O, Ta",,"Tantalum pentoxide, Lithium oxide, Tantalum","Alliance Resources Limited, Tawana Resources NL, Altura Mining Limited",,Magmatic,Pegmatite,LCT pegmatite,"Yilgarn Craton, Kalgoorlie Terrane",,,,"West Australian Element,Yilgarn Craton"
334010,Trough Well,,WA,118.9739,-30.6708,mineral deposit,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",Golden Horse Minerals Ltd,Archean,,,,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",,Forrestania Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
334016,Anabama,,SA,140.2846,-32.7956,mineral deposit,Cu,,Copper,Adelaide Resources Limited,Proterozoic,,,,Delamerian Orogen,,,,"Delamerian Orogen,Tasman Element"
334019,Middlemount,,QLD,148.6316,-22.8481,operating mine,Cbl,,Coal - black,"Peabody Energy Corp., Yancoal Australia Limited",,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
334020,Maddingley,,VIC,144.4402,-37.7043,operating mine,Cbr,,Coal - brown,Mantle Mining Corporation Ltd,Cenozoic,,,,Otway Basin,,,Selwyn Province,"Bendigo Zone,Lachlan Orogen,Tasman Element"
334021,McTavish,,WA,121.4606,-29.3323,mineral deposit,Au,,Gold,Arika Resources Ltd,Archean,,,,Yilgarn Craton,,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
334023,Meecharra,,WA,120.4043,-22.0766,mineral deposit,Mn,MnOre,"Manganese, (Manganese ore)",Mn Energy Ltd,,,,,,Warakurna Large Igneous Province,,Fortescue Basin,"Pilbara Craton,West Australian Element"
334024,Bandalup,,WA,120.3583,-33.6086,mineral deposit,"MgO, Mgs",,"Magnesia (magnesium oxide), Magnesite","Watts-Butler Denise Elaine, Ashbridge Holdings Pty Ltd",,,,,,,Ravensthorpe Nickel Metallogenic Province,,"Albany-Fraser Orogen,Central Australian Element,Northern Foreland,Yilgarn Craton"
334026,Ricciardo,Silverstone,WA,116.9502,-28.9033,historic mine,"Sb, Au",,"Antimony, Gold","Warriedar Resources, Minjar Gold Pty Ltd",,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
334035,Mount Margaret-E1 (Glencore),"E1, E1 East, E1 North, E1 South, Monakoff, Mt Margaret",QLD,140.7829,-20.4424,care and maintenance,"Cu, Au","U, U3O8","Copper, Gold, (Uranium, Uranium oxide)","Comet Resources Ltd, Glencore Plc",Proterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,Mount Isa Orogen,,,"Carpentaria Basin,Karumba Basin","Canobie Domain,Mount Isa Orogen,North Australian Element"
334036,Buddadoo,,WA,116.4842,-28.7014,mineral deposit,"Fe, Rt, V, FeOre",V2O5,"Iron, Rutile, Vanadium, Iron ore, (Vanadium pentoxide)",CZR Resources Ltd,,,,,"Yilgarn Craton, Buddadoo Hills Vanadium Metallogenic Province",,,,"West Australian Element,Yilgarn Craton"
334037,Trout,Plutonic Project,WA,119.5085,-25.3181,historic mine,Au,,Gold,"Northern Star Resources Limited, Barrick Gold Corporation",Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"Marymia Dome,West Australian Element,Yilgarn Craton"
334038,Maryvale,"Maryvale Field, Maryvale L, Maryvale Y, includes Morwell Township",VIC,146.4,-38.197,mineral deposit,Cbr,,Coal - brown,"CLP Holdings, TRU Energy",Cenozoic,,,,Gippsland Basin,,,"Gippsland Basin,Selwyn Province","Lachlan Orogen,Melbourne-Mathinna Zone,Tasman Element"
334039,Budgeree,,VIC,146.3426,-38.4142,mineral deposit,Cbr,,Coal - brown,Department of Primary Industries,Cenozoic,,,,Gippsland Basin,,,"Gippsland Basin,Selwyn Province",Tasman Element
334041,West Olympus,,WA,117.8967,-23.4289,mineral deposit,Au,,Gold,Sipa Resources Ltd,,,,,,Warakurna Large Igneous Province,,"Ashburton Basin,Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
334042,Gibraltar - Yaloginda,Yaloginda Project,WA,118.4356,-26.6749,historic mine,Au,,Gold,"Reed Resources Limited, Westgold Resources Limited",Archean,,,,"Yilgarn Craton, Kalgoorlie Gold Metallogenic Province",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
334043,Central Tanami,,NT,129.1739,-19.966,historic mine,Au,,Gold,"Northern Star Resources Limited, Tanami Gold NL",Proterozoic,,,,Tanami Orogen,Kalkarindji Igneous Province,,,"North Australian Element,Tanami Orogen"
334049,Dendrobium,,NSW,150.76,-34.3769,operating mine,Cbl,,Coal - black,"M Resources Pty Ltd, Golden Energy and Resources Limited",,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
334052,Cooljarloo (IMAGE),,WA,115.4242,-30.6352,under development,"Zrn, Ilm, Rt","Leu, Grt","Zircon, Ilmenite, Rutile, (Leucoxene, Garnet)",Image Resources NL,,Erosional,Placer,Heavy mineral sands,,,,Perth Basin,"Pinjarra Element,Pinjarra Orogen"
334054,Hopelands East,,WA,115.9062,-32.3963,mineral deposit,"Zrn, Ilm","Leu, Rt","Zircon, Ilmenite, (Leucoxene, Rutile)",Tronox Limited,,Erosional,Placer,Heavy mineral sands,,,,"Mandurah Terrace,Perth Basin","Pinjarra Element,Pinjarra Orogen"
333778,Golden Pig,"Haddon, Three Boys",WA,119.3208,-31.2303,historic mine,Au,,Gold,China Hanking Holdings Limited,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Bounty Gold Metallogenic Province, Southern Cross Province",,Forrestania Nickel Metallogenic Province,Deborah Paleovalley,"West Australian Element,Yilgarn Craton"
333779,Mammoth,"Esperanza, Gunpowder, Kabunga, Mt Gordon, North Portal",QLD,139.366,-19.6961,historic mine,Cu,,Copper,Aditya Birla Minerals Ltd,Proterozoic,Metamorphic hydrothermal,Orogenic,Orogenic copper ± gold,"Mount Isa Orogen, Lawn Hill Platform",,,,"Leichhardt River Domain,Mount Isa Orogen,North Australian Element"
333780,Mount Cuthbert,"Leichhardt, Mt Cuthbert South, Mt Watson",QLD,139.914,-19.988,mineral deposit,"Cu, Ag, Au",,"Copper, Silver, Gold","Malaco Group, Cape Lambert Resources Ltd",Proterozoic,Regional metasomatic,IOCG,,"Mount Isa Orogen, Kalkadoon-Leichhardt Belt",,,,"Kalkadoon-Leichhardt Domain,Mount Isa Orogen,North Australian Element"
333781,Worsley,"Boddington Bauxite Mine, Mt Saddleback",WA,116.4559,-32.9292,operating mine,Bx,"Al2O3, Sic","Bauxite, (Alumina, Silica)","BHP Group Limited, Japan Alumina Associates (Australia) Pty Ltd, Sojitz Corporation",Cenozoic,Supergene,Laterite,Bauxite,"Yilgarn Craton, Southwest Terrane, Western Gneiss Terrane",,,,"West Australian Element,Yilgarn Craton"
333783,Viney Creek,,NSW,152.181,-32.6017,historic mine,"Ilm, Zrn, Mnz","Rt, Mnsd","Ilmenite, Zircon, (Rutile, Monazite, Mineral sands)",Mineral Deposits Ltd,,,,,New England Orogen,,,,"Eastern Province,Lachlan Orogen,New England Orogen,Tamworth Province,Tasman Element"
333784,Warrego,,NT,133.8237,-19.4448,operating mine,"Au, Cu, Bi, FeOre, Ag",Fe,"Gold, Copper, Bismuth, Iron ore, Silver, (Iron)","Northern Iron Pty Ltd, Territory Resources Ltd",Paleoproterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,"Tennant Creek Block, Warramunga Province, Warrego Metallogenic Province",Kalkarindji Igneous Province,,Warramunga Province,North Australian Element
333785,Osborne,"Kulthor, Trough Tank",QLD,140.5736,-22.0939,closed,"Cu, Au",,"Copper, Gold","Chinova Resources, Shanxi Donghui",Mesoproterozoic,Regional metasomatic,IOCG,Magnetite-dominant IOCG,"Mount Isa Orogen, Kuridala-Selwyn Domain, Selwyn Metallogenic Province, Cloncurry-Selwyn Zone",,,Eromanga Basin,"Kuridala-Selwyn Domain,Mount Isa Orogen,North Australian Element"
333787,Carnilya,,WA,121.8636,-31.0533,historic mine,Ni,"Co, Cu","Nickel, (Cobalt, Copper)",MIncor Resources NL,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Eastern Goldfields Province, Kambalda Nickel Metallogenic Province",,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333788,Tartana,,QLD,144.266,-16.93,operating mine,Cu,,Copper,Tartana Minerals,Paleozoic,,,,Hodgkinson Province,,,,"Hodgkinson Province,Mossman Orogen,Tasman Element"
333789,Kangiara,,NSW,148.7537,-34.6008,historic mine,"Zn, Pb, Au, Ag, Cu",,"Zinc, Lead, Gold, Silver, Copper",Heron Resources Limited,,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,"Lachlan Orogen, Lachlan Orogen",,,,"Eastern Province,Lachlan Orogen,Tasman Element"
333791,Integra (Glennies Creek),,NSW,151.135,-32.4688,closed,Cbl,,Coal - black,Glencore Plc,,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
333792,Mitchells Flat,,NSW,151.3139,-32.5324,mineral deposit,Cbl,,Coal - black,"Glencore Plc, Marubeni Corporation, Xstrata plc",,,,,Sydney Basin,,,Sydney Basin,"Eastern Province,Lachlan Orogen,Tasman Element"
333799,Scott River,,WA,115.3346,-34.2601,mineral deposit,"Ilm, Zrn, Rt, Leu, Mnsd",,"Ilmenite, Zircon, Rutile, Leucoxene, Mineral sands",Tronox Limited,,Erosional,Placer,Heavy mineral sands,Perth Basin,,,"Bunbury Trough,Perth Basin","Pinjarra Element,Pinjarra Orogen"
333800,Nim 3,"Jundee Gold Project, Nimary Three",WA,120.594,-26.374,historic mine,Au,,Gold,Northern Star Resources Limited,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Eastern Goldfields Province",Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
333802,Angas,,SA,138.9159,-35.2511,care and maintenance,"Zn, Pb, Ag","Au, Cu","Zinc, Lead, (Gold, Silver, Copper)",Terramin Australia Limited,Paleozoic,Basin hydrothermal,Sediment-hosted,Siliciclastic-mafic zinc-lead,Kanmantoo Fold Belt,,,,"Delamerian Orogen,Tasman Element"
333803,Cosmos,Cosmos Deeps,WA,120.5777,-27.599,care and maintenance,"Ni, Pd, Pt, Au, Co","Cu, PGE","Nickel, (Copper, Palladium, Platinum, Gold, Cobalt, Platinum group elements)",IGO Ltd,Archean,Magmatic,Komatiite,Komatiite nickel-copper-PGE,"Yilgarn Craton, Eastern Goldfields Province, Mount Keith Nickel Metallogenic Province",,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333804,Boomerang,Reedy's Project,WA,118.2887,-27.0444,historic mine,Au,,Gold,"Reed Resources Limited, Westgold Resources Limited",Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,Hope Paleovalley,"West Australian Element,Yilgarn Craton"
333806,Rand,Reedy's Project,WA,118.2702,-27.1215,historic mine,Au,,Gold,"Metals X Limited, Reed Resources Limited",Archean,,,,Yilgarn Craton,Warakurna Large Igneous Province,,,"West Australian Element,Yilgarn Craton"
333808,Hornet,East Kundana JV,WA,121.264,-30.7497,mineral deposit,Au,,Gold,"Rand Mining Limited, Tribune Resources Limited, Northern Star Resources Limited, Barrick Gold Corporation",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,"Yilgarn Craton, Kalgoorlie Terrane",,Kambalda Nickel Metallogenic Province,Roe Paleovalley,"West Australian Element,Yilgarn Craton"
333810,Mount Angelo,Halls Creek Copper-Zinc Project,WA,127.4902,-18.4375,mineral deposit,"Cu, Zn, Au, Pb, Ag",,"Copper, Zinc, Gold, Lead, Silver",Cazaly Resources Limited,Proterozoic,Volcanic basin hydrothermal,Volcanogenic massive sulfide (VMS),Bimodal felsic VMS,Halls Creek Orogen - central zone,Kalkarindji Igneous Province,,,"Halls Creek Orogen,Lamboo Province,North Australian Element"
333811,Beta Hunt,"Alpha, Beta Island",WA,121.6939,-31.2403,operating mine,"Au, Ni",,"Gold, Nickel",Westgold Resources Limited,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Kambalda Nickel Metallogenic Province,Lefroy Paleovalley,"West Australian Element,Yilgarn Craton"
333814,Bullant,"Carbine Project, Cross Lode, East Lode, Main Lode",WA,121.0578,-30.5275,mineral deposit,Au,,Gold,"Zijin Mining Group Company Ltd, Norton Gold Fields Limited",Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,Roe Paleovalley,"West Australian Element,Yilgarn Craton"
333775,Jericho,,WA,120.4456,-27.0402,mineral deposit,Ni,,Nickel,BHP Group Limited,Archean,,,,"Yilgarn Craton, Eastern Goldfields Province",,Mount Keith Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333817,South Walker Creek,Kemmis-Walker,QLD,148.4427,-21.7709,operating mine,Cbl,,Coal - black,Stanmore Resources Limited,,,,,Bowen Basin,,,Bowen Basin,"Connors-Auburn Province,New England Orogen,Tasman Element"
333818,Minerva,Athena,QLD,148.0471,-23.9214,closed,Cbl,,Coal - black,"Sojitz Corporation, Felix Resources, Yancoal Australia Limited",,,,,Bowen Basin,,,Bowen Basin,"Anakie Province,Tasman Element,Thomson Orogen"
333820,King Solomon - Coolgardie,Lindsays-Bayleys Project,WA,121.1741,-30.9532,historic mine,Au,,Gold,Focus Minerals Limited,Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333821,Roper Bar,"Area D, Area E, Area F, Gum Creek",NT,135.0907,-15.1487,operating mine,FeOre,Fe,"Iron ore, (Iron)",Nathan River Resources,,Basin chemical,Iron formation,Oolitic iron formation,McArthur Basin,,,McArthur Basin,North Australian Element
333822,Bakers Flat,South Kalgoorlie Operations,WA,121.2687,-30.9694,mineral deposit,Au,,Gold,"Alacer Gold Corporation, Metals X Limited, Northern Star Resources Limited",Archean,,,,Yilgarn Craton,,Kambalda Nickel Metallogenic Province,Roe Paleovalley,"West Australian Element,Yilgarn Craton"
333823,Waite Kauri,,WA,121.7158,-28.6772,mineral deposit,"Ni, Co",,"Nickel, Cobalt",Alliance Nickel Ltd,Cenozoic,,,,"Yilgarn Craton, Eastern Goldfields Province",,,,"West Australian Element,Yilgarn Craton"
333826,Paradigm,,WA,120.9383,-30.4749,mineral deposit,Au,,Gold,Evolution Mining Limited,Archean,,,,,,Kambalda Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333832,Winchester,Batchelor,NT,131.05,-13.0472,mineral deposit,"Mgs, MgO",,"Magnesite, Magnesia (magnesium oxide)",Korab Resources Limited,,,,,,,,,"North Australian Element,Pine Creek Orogen"
333837,North Ironcap Group,,WA,119.69,-32.36,mineral deposit,Au,,Gold,Western Areas Limited,Archean,,,,Yilgarn Craton,,Forrestania Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
333840,Galileo,,VIC,142.428,-34.9608,mineral deposit,"Rt, Zrn, Ilm",Leu,"Rutile, Zircon, Ilmenite, (Leucoxene)",Tronox Limited,,Erosional,Placer,Heavy mineral sands,Murray Basin,,,Murray Basin,"Lachlan Orogen,Stawell Zone,Tasman Element"
333843,Peak Hill,Peak Hill Project,WA,118.7172,-25.6394,historic mine,Au,,Gold,"Montezuma Mining Limited, Westgold Resources Limited",Proterozoic,,,,"Yilgarn Craton, Bryah Basin, Plutonic Gold Metallogenic Province",Warakurna Large Igneous Province,,,"Marymia Dome,West Australian Element,Yilgarn Craton"
333844,Rosevale,Westbury,TAS,146.9175,-41.403,mineral deposit,Cbr,,Coal - brown,Tasmanian Minerals Council,,,,,Gippsland Basin,,,"Tasmania Basin,Thylacine Province","Delamerian Orogen,Tasman Element"
333847,Highland Chief,,WA,116.968,-29.1697,historic mine,Au,,Gold,Minjar Gold Pty Ltd,Archean,Metamorphic hydrothermal,Orogenic,Mesozonal orogenic gold,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
333848,Monaco,,WA,116.9589,-28.9387,historic mine,Au,,Gold,Minjar Gold Pty Ltd,,,,,Yilgarn Craton,,,,"West Australian Element,Yilgarn Craton"
333849,Zeus - Ashburton,Ashburton Gold Project,WA,117.9112,-23.4375,historic mine,Au,,Gold,Northern Star Resources Limited,Paleoproterozoic,,,,,Warakurna Large Igneous Province,,"Ashburton Basin,Fortescue Basin,Hamersley Basin","Pilbara Craton,West Australian Element"
333850,New Morning/Daybreak,NMDB,WA,119.6801,-32.4504,mineral deposit,"Ni, Co",,"Nickel, Cobalt",IGO Ltd,Archean,,,,"Yilgarn Craton, Forrestania Nickel Metallogenic Province, Southern Cross Province",,Forrestania Nickel Metallogenic Province,,"West Australian Element,Yilgarn Craton"
